IncidentID,UnitNumber,PersonNo,PersonTypeCde,DeathDte,AgeAtIncident,Gender,IsOwner,WasTransported,InjurySeverityCde,InjuryLocationCde,PosInVehicleCde,RestraintUseCde,TrappedCde,EjectionCde,EjectionPathCde,SuspectedOfDrinking,TestOffered,TestRefused,TestedForCde,TestSentTo,TestResults,HasOpLicense,HasCDLicense,HasLicenseRestrictions,HasOpEndorsements,
31213804,1,1,03,,,MALE,False,True,02,08,,,01,01,01,,False,,,,,,,,,
31213804,2,2,01,,18,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
31213804,2,3,02,,15,MALE,False,False,05,,13,01,01,01,01,,,,,,,,,,,
31217985,1,1,03,,32,MALE,False,True,02,08,,,01,01,01,,False,,,,,,,,,
31217985,2,2,01,,51,MALE,True,False,05,08,11,01,01,01,01,False,False,,,,,True,False,False,False,
31219447,1,1,05,,46,MALE,False,True,04,08,,07,01,01,01,,,,,,,,,,,
31219447,2,2,01,,52,MALE,True,False,05,,11,03,01,01,01,False,False,,,,,True,False,False,False,
31224854,1,1,01,,31,MALE,False,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
31238551,1,1,03,1/19/2023 12:00:00 AM,42,MALE,False,True,01,08,,,01,01,01,,True,False,03,AXIS FORENSIC TOXICOLOGY,546NG/ML METHAMPHETAMINE,,,,,
31238551,2,2,01,,29,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
31240780,1,1,01,,30,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
31240780,2,2,03,,22,MALE,False,False,05,,,,01,01,01,,False,,,,,,,,,
31224854,2,3,05,,22,MALE,False,True,03,08,,09,01,01,01,,,,,,,,,,,
31217432,1,1,01,,26,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
31244262,2,2,01,,49,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,True,False,True,
31252805,2,1,03,,42,MALE,False,False,05,,,,01,01,01,,False,,,,,,,,,
31252805,1,2,02,,68,MALE,True,False,05,,,,01,01,01,,,,,,,,,,,
31255242,1,2,08,,61,MALE,True,False,,,,,,,,,,,,,,,,,,
31225340,1,1,01,,26,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
31261721,2,2,03,,60,MALE,True,False,05,,,,01,01,01,,False,,,,,,,,,
31287889,2,1,03,,50,MALE,False,True,03,08,,,01,01,01,,False,,,,,,,,,
31255242,,5,07,,42,MALE,,,,,,,,,,,,,,,,,,,,
31255242,,6,07,,69,MALE,,,,,,,,,,,,,,,,,,,,
31319171,1,1,05,,70,MALE,True,True,03,04,,06,01,01,01,,,,,,,,,,,
31319171,2,2,01,,45,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
31359704,1,2,03,,11,MALE,False,True,03,,,,01,01,01,,False,,,,,,,,,
31410463,2,1,03,,31,MALE,False,False,04,06,,,01,01,01,,False,,,,,,,,,
31415354,2,1,03,,85,MALE,False,False,05,,,,01,01,01,,False,,,,,,,,,
31372966,2,2,01,,44,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
31395549,1,1,01,,61,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
31365999,2,2,01,,19,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
31319171,2,4,02,,12,MALE,False,False,05,,21,01,01,01,01,,,,,,,,,,,
31319171,2,5,02,,10,MALE,False,False,05,,23,01,01,01,01,,,,,,,,,,,
31361691,1,3,03,,26,MALE,False,True,03,08,,,01,01,01,,False,,,,,,,,,
31361691,,4,07,,35,MALE,,,,,,,,,,,,,,,,,,,,
31462740,1,1,01,,47,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
31462740,2,2,03,,60,MALE,False,True,03,07,,,01,01,01,,False,,,,,,,,,
31463643,,3,03,,5,MALE,,,,,,,,,,,,,,,,,,,,
31463643,,4,07,,46,MALE,,,,,,,,,,,,,,,,,,,,
31767364,1,1,05,,45,MALE,True,True,04,08,,07,01,01,01,,,,,,,,,,,
31767364,2,4,08,,,MALE,True,False,,,,,,,,,,,,,,,,,,
31972219,2,1,01,,74,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
31972219,1,2,03,3/1/2023 12:00:00 AM,44,MALE,False,True,01,05,,,01,01,01,,False,,,,,,,,,
